ID,AREA,CREATE_BY,CREATE_DATE,,,
0,JAMBI,SYSTEM,2024-07-24 00:00.0,0,JAMBI,0
1,JAWA,SYSTEM,2024-07-24 00:00.0,1,JAWA,1
2,JAWA BARAT,SYSTEM,2024-07-24 00:00.0,2,JAWA BARAT,2
3,JAWA TIMUR,SYSTEM,2024-07-24 00:00.0,3,JAWA TIMUR,3
4,KALIMANTAN,SYSTEM,2024-07-24 00:00.0,4,KALIMANTAN,4
5,KTI,SYSTEM,2024-07-24 00:00.0,5,KTI,5
6,LAMPUNG,SYSTEM,2024-07-24 00:00.0,6,LAMPUNG,6
7,NATUNA,SYSTEM,2024-07-24 00:00.0,7,NATUNA,7
8,PAPUA,SYSTEM,2024-07-24 00:00.0,8,PAPUA,8
9,RIAU,SYSTEM,2024-07-24 00:00.0,9,RIAU,9
10,SULAWESI,SYSTEM,2024-07-24 00:00.0,10,SULAWESI,10
11,SUMATRA UTARA,SYSTEM,2024-07-24 00:00.0,11,SUMATRA UTARA,11
12,SUMATRA SELATAN,SYSTEM,2024-07-24 00:00.0,12,SUMATRA SELATAN,12
20,"SUMATRA TENGAH (KILIRAN GRABEN, ROKAN GRABEN, PERBAUNGAN)",SYSTEM,2025-09-25 00:00.0,20,"SUMATRA TENGAH (KILIRAN GRABEN, ROKAN GRABEN, PERBAUNGAN)",20
21,"KTI (NORTH KUTAI, CENTRAL KUTAI, SOUTH KUTAI)",SYSTEM,2025-09-25 00:00.0,21,"KTI (NORTH KUTAI, CENTRAL KUTAI, SOUTH KUTAI)",21
22,"PAPUA MALUKU (NORTH-SE SERAM, OFF. WEST TIMOR, ARU KURAWA)",SYSTEM,2025-09-25 00:00.0,22,"PAPUA MALUKU (NORTH-SE SERAM, OFF. WEST TIMOR, ARU KURAWA)",22
23,"JAWA-BALI (BALI LOMBOK, TUBAN OFF- CENTRAL DEEP, NORTHERN EASTERN MADURA)",SYSTEM,2025-09-25 00:00.0,23,"JAWA-BALI (BALI LOMBOK, TUBAN OFF- CENTRAL DEEP, NORTHERN EASTERN MADURA)",23
24,"SULAWESI (MANUI, BONE, BUTON OFF)",SYSTEM,2025-09-25 00:00.0,24,"SULAWESI (MANUI, BONE, BUTON OFF)",24
25,KEPALA BURUNG,SYSTEM,2025-09-25 00:00.0,25,KEPALA BURUNG,25
26,BONE TUKANG BESI,SYSTEM,2025-09-25 00:00.0,26,BONE TUKANG BESI,26
27,"NSB, SUMATRA FOREARC BASIN",SYSTEM,2025-09-25 00:00.0,27,"NSB, SUMATRA FOREARC BASIN",27
28,AKIMEUGAH- IWUR,SYSTEM,2025-09-25 00:00.0,28,AKIMEUGAH- IWUR,28
29,SUB VULKANIK JAWA,SYSTEM,2025-09-25 00:00.0,29,SUB VULKANIK JAWA,29
30,NORTH BALI - LOMBOK,SYSTEM,2025-09-25 00:00.0,30,NORTH BALI - LOMBOK,30
31,SERAM,SYSTEM,2025-09-25 00:00.0,31,SERAM,31
32,SUMBA,SYSTEM,2025-09-25 00:00.0,32,SUMBA,32
33,SENGKANG - KENDARI,SYSTEM,2025-09-25 00:00.0,33,SENGKANG - KENDARI,33
34,MEMBERAMO,SYSTEM,2025-09-25 00:00.0,34,MEMBERAMO,34
35,KUTAI BARITO,SYSTEM,2025-09-25 00:00.0,35,KUTAI BARITO,35
36,BUTON,SYSTEM,2025-09-25 00:00.0,36,BUTON,36
37,BONE,SYSTEM,2025-09-25 00:00.0,37,BONE,37
38,KUTAI,SYSTEM,2025-09-25 00:00.0,38,KUTAI,38
39,OFF. NORTH SUMATRA & FOREARC,SYSTEM,00:00.0,39,OFF. NORTH SUMATRA & FOREARC,39
40,BERAU,SYSTEM,00:00.0,40,BERAU,40
41,OFF. WEST TIMOR,SYSTEM,00:00.0,41,OFF. WEST TIMOR,41
42,KALIMANTAN UTARA,SYSTEM,00:00.0,42,KALIMANTAN UTARA,42
43,BONE-SENGKANG,SYSTEM,00:00.0,43,BONE-SENGKANG,43
44,SE SERAM,SYSTEM,00:00.0,44,SE SERAM,44
45,AMALIA EXTENTION,SYSTEM,00:00.0,45,AMALIA EXTENTION,45
46,"KEPALA BURUNG, AKIMEGAH, MEMBERAMO & KUTAI BARITO",SYSTEM,00:00.0,46,"KEPALA BURUNG, AKIMEGAH, MEMBERAMO & KUTAI BARITO",46
47,SUMATRA,SYSTEM,00:00.0,47,SUMATRA,47
48,NATUNA TIMUR,SYSTEM,00:00.0,48,NATUNA TIMUR,48
49,GORONTALO,SYSTEM,2025-09-25 00:00.0,49,GORONTALO,49
50,BUSUR SERAM,SYSTEM,2025-09-25 00:00.0,50,BUSUR SERAM,50
51,SUMATRA (forearc),SYSTEM,2025-09-25 00:00.0,51,SUMATRA (FOREARC),51
52,LAUT SUMATRA UTARA,SYSTEM,2025-09-25 00:00.0,52,LAUT SUMATRA UTARA,52
53,KUTAI OFFSHORE,SYSTEM,2025-09-25 00:00.0,53,KUTAI OFFSHORE,53
54,WEST RAPAK,SYSTEM,2025-09-25 00:00.0,54,WEST RAPAK,54
55,SOUTH TARAKAN,SYSTEM,2025-09-25 00:00.0,55,SOUTH TARAKAN,55
