ID,BASIN,CREATE_BY,CREATE_DATE,,
0,Banggai,SYSTEM,00:00.0,BANGGAI,0
1,Jawa Barat,SYSTEM,00:00.0,JAWA BARAT,1
2,Jawa Timur,SYSTEM,00:00.0,JAWA TIMUR,2
3,Jawa Timur Utara,SYSTEM,00:00.0,JAWA TIMUR UTARA,3
4,Kendeng,SYSTEM,00:00.0,KENDENG,4
5,Kutai,SYSTEM,00:00.0,KUTAI,5
6,Luar WK,SYSTEM,00:00.0,LUAR WK,6
7,Natuna Barat,SYSTEM,00:00.0,NATUNA BARAT,7
8,Salawati,SYSTEM,00:00.0,SALAWATI,8
9,Sengkang,SYSTEM,00:00.0,SENGKANG,9
10,Seram,SYSTEM,00:00.0,SERAM,10
11,Sumatera Selatan,SYSTEM,00:00.0,SUMATERA SELATAN,11
12,Sumatera Tengah,SYSTEM,00:00.0,SUMATERA TENGAH,12
13,Sumatera Utara,SYSTEM,00:00.0,SUMATERA UTARA,13
14,Tarakan,SYSTEM,00:00.0,TARAKAN,14
