ID,HOLDING,CREATE_BY,CREATE_DATE,HOLDING,ID
0,APG,SYSTEM,2024-07-24,APG,0
1,BP,SYSTEM,2024-07-24,BP,1
2,BPHE,SYSTEM,2024-07-24,BPHE,2
3,BSP,SYSTEM,2024-07-24,BSP,3
4,CITIC,SYSTEM,2024-07-24,CITIC,4
5,EMP,SYSTEM,2024-07-24,EMP,5
6,ENERGY EQUITY,SYSTEM,2024-07-24,ENERGY EQUITY,6
7,HUSKY,SYSTEM,2024-07-24,HUSKY,7
8,JADESTONE,SYSTEM,2024-07-24,JADESTONE,8
9,JINDI,SYSTEM,2024-07-24,JINDI,9
10,MANDIRI,SYSTEM,2024-07-24,MANDIRI,10
11,MANHATTAN,SYSTEM,2024-07-24,MANHATTAN,11
12,MEDCO,SYSTEM,2024-07-24,MEDCO,12
13,MGA,SYSTEM,2024-07-24,MGA,13
14,MINARAK,SYSTEM,2024-07-24,MINARAK,14
15,MONTD'OR,SYSTEM,2024-07-24,MONTD'OR,15
16,PENGPROV KALTIM,SYSTEM,2024-07-24,PENGPROV KALTIM,16
17,PERTAMINA,SYSTEM,2024-07-24,PERTAMINA,17
18,PETROCHINA,SYSTEM,2024-07-24,PETROCHINA,18
19,PETROGAS,SYSTEM,2024-07-24,PETROGAS,19
20,PETRONAS,SYSTEM,2024-07-24,PETRONAS,20
21,SAKA,SYSTEM,2024-07-24,SAKA,21
22,SGE,SYSTEM,2024-07-24,SGE,22
23,TIARABUMI,SYSTEM,2024-07-24,TIARABUMI,23
24,TIARABUMI,SYSTEM,2024-07-24,TIARABUMI,24
25,CRITERIUM,,,CRITERIUM,25
